status_pef;id_peso_envio;descripcion;pmvp;id_servicio_franqueo
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
1;2;prueba 1;100;3
1;2;prueba 2;200;3
1;2;prueba 3;300;3
1;2;prueba 4;150;3
